Country,Factors,Value
Angola,Trust (Government Corruption),0.069720335
Angola,Generosity,0.09792649
Afghanistan,Economy (GDP per Capita),0.401477218
Afghanistan,Family,0.581543326
Afghanistan,Health (Life Expectancy),0.180746779
Afghanistan,Freedom,0.10617952
Afghanistan,Trust (Government Corruption),0.06115783
Afghanistan,Generosity,0.311870933
Botswana,Economy (GDP per Capita),1.122094154
Botswana,Family,1.221554995
Botswana,Health (Life Expectancy),0.341755509
Botswana,Freedom,0.505196333
Botswana,Trust (Government Corruption),0.098583199
Botswana,Generosity,0.099348448
Benin,Economy (GDP per Capita),0.431085408
Benin,Family,0.435299844
Benin,Health (Life Expectancy),0.209930211
Benin,Freedom,0.425962776
Benin,Trust (Government Corruption),0.060929015
Benin,Generosity,0.207948461
Madagascar,Economy (GDP per Capita),0.305808693
Madagascar,Family,0.913020372
Madagascar,Health (Life Expectancy),0.375223309
Madagascar,Freedom,0.189196765
Madagascar,Trust (Government Corruption),0.067231975
Madagascar,Generosity,0.20873253
Haiti,Economy (GDP per Capita),0.368610263
Haiti,Family,0.640449822
Haiti,Health (Life Expectancy),0.27732113
Haiti,Freedom,0.030369857
Haiti,Trust (Government Corruption),0.09987215
Haiti,Generosity,0.489203781
Yemen,Economy (GDP per Capita),0.591683447
Yemen,Family,0.935382247
Yemen,Health (Life Expectancy),0.310080916
Yemen,Freedom,0.249463722
Yemen,Trust (Government Corruption),0.056767423
Yemen,Generosity,0.104125209
South Sudan,Economy (GDP per Capita),0.397248626
South Sudan,Family,0.601323128
South Sudan,Health (Life Expectancy),0.163486004
South Sudan,Freedom,0.147062436
South Sudan,Trust (Government Corruption),0.116793513
South Sudan,Generosity,0.285670817
Liberia,Economy (GDP per Capita),0.119041793
Liberia,Family,0.872117937
Liberia,Health (Life Expectancy),0.229918197
Liberia,Freedom,0.332881182
Liberia,Trust (Government Corruption),0.038948249
Liberia,Generosity,0.266549885
Guinea,Economy (GDP per Capita),0.24454993
Guinea,Family,0.791244686
Guinea,Health (Life Expectancy),0.194129139
Guinea,Freedom,0.348587513
Guinea,Trust (Government Corruption),0.110937618
Guinea,Generosity,0.264815092
Togo,Economy (GDP per Capita),0.305444717
Togo,Family,0.43188253
Togo,Health (Life Expectancy),0.247105569
Togo,Freedom,0.380426139
Togo,Trust (Government Corruption),0.095665015
Togo,Generosity,0.196896151
Rwanda,Economy (GDP per Capita),0.368745893
Rwanda,Family,0.945707023
Rwanda,Health (Life Expectancy),0.326424807
Rwanda,Freedom,0.581843853
Rwanda,Trust (Government Corruption),0.455220014
Rwanda,Generosity,0.252756029
Syria,Economy (GDP per Capita),0.777153134
Syria,Family,0.396102607
Syria,Health (Life Expectancy),0.500533342
Syria,Freedom,0.081539445
Syria,Trust (Government Corruption),0.151347131
Syria,Generosity,0.493663728
Tanzania,Economy (GDP per Capita),0.511135876
Tanzania,Family,1.041989803
Tanzania,Health (Life Expectancy),0.364509284
Tanzania,Freedom,0.390017778
Tanzania,Trust (Government Corruption),0.066035107
Tanzania,Generosity,0.354256362
Burundi,Economy (GDP per Capita),0.091622569
Burundi,Family,0.629793584
Burundi,Health (Life Expectancy),0.151610792
Burundi,Freedom,0.059900753
Burundi,Trust (Government Corruption),0.084147945
Burundi,Generosity,0.204435185
Central African Republic,Economy (GDP per Capita),0
Central African Republic,Family,0
Central African Republic,Health (Life Expectancy),0.018772686
Central African Republic,Freedom,0.270842046
Central African Republic,Trust (Government Corruption),0.056565076
Central African Republic,Generosity,0.280876487
Finland,Economy (GDP per Capita),1.305
Finland,Family,1.592
Finland,Health (Life Expectancy),0.874
Finland,Freedom,0.681
Finland,Trust (Government Corruption),0.393
Finland,Generosity,0.202
Norway,Economy (GDP per Capita),1.456
Norway,Family,1.582
Norway,Health (Life Expectancy),0.861
Norway,Freedom,0.686
Norway,Trust (Government Corruption),0.34
Norway,Generosity,0.286
Denmark,Economy (GDP per Capita),1.351
Denmark,Family,1.59
Denmark,Health (Life Expectancy),0.868
Denmark,Freedom,0.683
Denmark,Trust (Government Corruption),0.408
Denmark,Generosity,0.284
Iceland,Economy (GDP per Capita),1.343
Iceland,Family,1.644
Iceland,Health (Life Expectancy),0.914
Iceland,Freedom,0.677
Iceland,Trust (Government Corruption),0.138
Iceland,Generosity,0.353
Switzerland,Economy (GDP per Capita),1.42
Switzerland,Family,1.549
Switzerland,Health (Life Expectancy),0.927
Switzerland,Freedom,0.66
Switzerland,Trust (Government Corruption),0.357
Switzerland,Generosity,0.256
Netherlands,Economy (GDP per Capita),1.361
Netherlands,Family,1.488
Netherlands,Health (Life Expectancy),0.878
Netherlands,Freedom,0.638
Netherlands,Trust (Government Corruption),0.295
Netherlands,Generosity,0.333
Canada,Economy (GDP per Capita),1.33
Canada,Family,1.532
Canada,Health (Life Expectancy),0.896
Canada,Freedom,0.653
Canada,Trust (Government Corruption),0.291
Canada,Generosity,0.321
New Zealand,Economy (GDP per Capita),1.268
New Zealand,Family,1.601
New Zealand,Health (Life Expectancy),0.876
New Zealand,Freedom,0.669
New Zealand,Trust (Government Corruption),0.389
New Zealand,Generosity,0.365
Sweden,Economy (GDP per Capita),1.355
Sweden,Family,1.501
Sweden,Health (Life Expectancy),0.913
Sweden,Freedom,0.659
Sweden,Trust (Government Corruption),0.383
Sweden,Generosity,0.285
Australia,Economy (GDP per Capita),1.34
Australia,Family,1.573
Australia,Health (Life Expectancy),0.91
Australia,Freedom,0.647
Australia,Trust (Government Corruption),0.302
Australia,Generosity,0.361
United Kingdom,Economy (GDP per Capita),1.244
United Kingdom,Family,1.433
United Kingdom,Health (Life Expectancy),0.888
United Kingdom,Freedom,0.464
United Kingdom,Trust (Government Corruption),0.082
United Kingdom,Generosity,0.262
Austria,Economy (GDP per Capita),1.341
Austria,Family,1.504
Austria,Health (Life Expectancy),0.891
Austria,Freedom,0.617
Austria,Trust (Government Corruption),0.224
Austria,Generosity,0.242
Costa Rica,Economy (GDP per Capita),1.01
Costa Rica,Family,1.459
Costa Rica,Health (Life Expectancy),0.817
Costa Rica,Freedom,0.632
Costa Rica,Trust (Government Corruption),0.101
Costa Rica,Generosity,0.143
Ireland,Economy (GDP per Capita),1.448
Ireland,Family,1.583
Ireland,Health (Life Expectancy),0.876
Ireland,Freedom,0.614
Ireland,Trust (Government Corruption),0.306
Ireland,Generosity,0.307
Germany,Economy (GDP per Capita),1.34
Germany,Family,1.474
Germany,Health (Life Expectancy),0.861
Germany,Freedom,0.586
Germany,Trust (Government Corruption),0.28
Germany,Generosity,0.273
Belgium,Economy (GDP per Capita),1.324
Belgium,Family,1.483
Belgium,Health (Life Expectancy),0.894
Belgium,Freedom,0.583
Belgium,Trust (Government Corruption),0.24
Belgium,Generosity,0.188
Luxembourg,Economy (GDP per Capita),1.576
Luxembourg,Family,1.52
Luxembourg,Health (Life Expectancy),0.896
Luxembourg,Freedom,0.632
Luxembourg,Trust (Government Corruption),0.321
Luxembourg,Generosity,0.196
United States,Economy (GDP per Capita),1.398
United States,Family,1.471
United States,Health (Life Expectancy),0.819
United States,Freedom,0.547
United States,Trust (Government Corruption),0.133
United States,Generosity,0.291
Israel,Economy (GDP per Capita),1.301
Israel,Family,1.559
Israel,Health (Life Expectancy),0.883
Israel,Freedom,0.533
Israel,Trust (Government Corruption),0.272
Israel,Generosity,0.354
United Arab Emirates,Economy (GDP per Capita),2.096
United Arab Emirates,Family,0.776
United Arab Emirates,Health (Life Expectancy),0.67
United Arab Emirates,Freedom,0.284
United Arab Emirates,Trust (Government Corruption),
United Arab Emirates,Generosity,0.186
Czech Republic,Economy (GDP per Capita),1.233
Czech Republic,Family,1.489
Czech Republic,Health (Life Expectancy),0.854
Czech Republic,Freedom,0.543
Czech Republic,Trust (Government Corruption),0.034
Czech Republic,Generosity,0.064
Malta,Economy (GDP per Capita),1.27
Malta,Family,1.525
Malta,Health (Life Expectancy),0.884
Malta,Freedom,0.645
Malta,Trust (Government Corruption),0.142
Malta,Generosity,0.376
France,Economy (GDP per Capita),1.293
France,Family,1.466
France,Health (Life Expectancy),0.908
France,Freedom,0.52
France,Trust (Government Corruption),0.176
France,Generosity,0.098
Mexico,Economy (GDP per Capita),1.038
Mexico,Family,1.252
Mexico,Health (Life Expectancy),0.761
Mexico,Freedom,0.479
Mexico,Trust (Government Corruption),0.095
Mexico,Generosity,0.069
Chile,Economy (GDP per Capita),1.131
Chile,Family,1.331
Chile,Health (Life Expectancy),0.808
Chile,Freedom,0.431
Chile,Trust (Government Corruption),0.061
Chile,Generosity,0.197
Taiwan,Economy (GDP per Capita),1.365
Taiwan,Family,1.436
Taiwan,Health (Life Expectancy),0.857
Taiwan,Freedom,0.418
Taiwan,Trust (Government Corruption),0.078
Taiwan,Generosity,0.151
Panama,Economy (GDP per Capita),1.112
Panama,Family,1.438
Panama,Health (Life Expectancy),0.759
Panama,Freedom,0.597
Panama,Trust (Government Corruption),0.063
Panama,Generosity,0.125
Brazil,Economy (GDP per Capita),0.986
Brazil,Family,1.474
Brazil,Health (Life Expectancy),0.675
Brazil,Freedom,0.493
Brazil,Trust (Government Corruption),0.088
Brazil,Generosity,0.11
Argentina,Economy (GDP per Capita),1.073
Argentina,Family,1.468
Argentina,Health (Life Expectancy),0.744
Argentina,Freedom,0.57
Argentina,Trust (Government Corruption),0.054
Argentina,Generosity,0.062
Guatemala,Economy (GDP per Capita),0.781
Guatemala,Family,1.268
Guatemala,Health (Life Expectancy),0.608
Guatemala,Freedom,0.604
Guatemala,Trust (Government Corruption),0.071
Guatemala,Generosity,0.179
Uruguay,Economy (GDP per Capita),1.093
Uruguay,Family,1.459
Uruguay,Health (Life Expectancy),0.771
Uruguay,Freedom,0.625
Uruguay,Trust (Government Corruption),0.155
Uruguay,Generosity,0.13
Qatar,Economy (GDP per Capita),1.649
Qatar,Family,1.303
Qatar,Health (Life Expectancy),0.748
Qatar,Freedom,0.654
Qatar,Trust (Government Corruption),0.171
Qatar,Generosity,0.256
Saudi Arabia,Economy (GDP per Capita),1.379
Saudi Arabia,Family,1.331
Saudi Arabia,Health (Life Expectancy),0.633
Saudi Arabia,Freedom,0.509
Saudi Arabia,Trust (Government Corruption),0.127
Saudi Arabia,Generosity,0.098
Singapore,Economy (GDP per Capita),1.529
Singapore,Family,1.451
Singapore,Health (Life Expectancy),1.008
Singapore,Freedom,0.631
Singapore,Trust (Government Corruption),0.457
Singapore,Generosity,0.261
Malaysia,Economy (GDP per Capita),1.161
Malaysia,Family,1.258
Malaysia,Health (Life Expectancy),0.669
Malaysia,Freedom,0.356
Malaysia,Trust (Government Corruption),0.059
Malaysia,Generosity,0.311
Spain,Economy (GDP per Capita),1.251
Spain,Family,1.538
Spain,Health (Life Expectancy),0.965
Spain,Freedom,0.449
Spain,Trust (Government Corruption),0.074
Spain,Generosity,0.142
Colombia,Economy (GDP per Capita),0.96
Colombia,Family,1.439
Colombia,Health (Life Expectancy),0.635
Colombia,Freedom,0.531
Colombia,Trust (Government Corruption),0.039
Colombia,Generosity,0.099
Trinidad & Tobago,Economy (GDP per Capita),1.223
Trinidad & Tobago,Family,1.492
Trinidad & Tobago,Health (Life Expectancy),0.564
Trinidad & Tobago,Freedom,0.575
Trinidad & Tobago,Trust (Government Corruption),0.019
Trinidad & Tobago,Generosity,0.171
Slovakia,Economy (GDP per Capita),1.21
Slovakia,Family,1.537
Slovakia,Health (Life Expectancy),0.776
Slovakia,Freedom,0.354
Slovakia,Trust (Government Corruption),0.014
Slovakia,Generosity,0.118
El Salvador,Economy (GDP per Capita),0.806
El Salvador,Family,1.231
El Salvador,Health (Life Expectancy),0.639
El Salvador,Freedom,0.461
El Salvador,Trust (Government Corruption),0.082
El Salvador,Generosity,0.065
Nicaragua,Economy (GDP per Capita),0.668
Nicaragua,Family,1.319
Nicaragua,Health (Life Expectancy),0.7
Nicaragua,Freedom,0.527
Nicaragua,Trust (Government Corruption),0.128
Nicaragua,Generosity,0.208
Poland,Economy (GDP per Capita),1.176
Poland,Family,1.448
Poland,Health (Life Expectancy),0.781
Poland,Freedom,0.546
Poland,Trust (Government Corruption),0.064
Poland,Generosity,0.108
Bahrain,Economy (GDP per Capita),1.338
Bahrain,Family,1.366
Bahrain,Health (Life Expectancy),0.698
Bahrain,Freedom,0.594
Bahrain,Trust (Government Corruption),0.123
Bahrain,Generosity,0.243
Uzbekistan,Economy (GDP per Capita),0.719
Uzbekistan,Family,1.584
Uzbekistan,Health (Life Expectancy),0.605
Uzbekistan,Freedom,0.724
Uzbekistan,Trust (Government Corruption),0.259
Uzbekistan,Generosity,0.328
Kuwait,Economy (GDP per Capita),1.474
Kuwait,Family,1.301
Kuwait,Health (Life Expectancy),0.675
Kuwait,Freedom,0.554
Kuwait,Trust (Government Corruption),0.106
Kuwait,Generosity,0.167
Thailand,Economy (GDP per Capita),1.016
Thailand,Family,1.417
Thailand,Health (Life Expectancy),0.707
Thailand,Freedom,0.637
Thailand,Trust (Government Corruption),0.029
Thailand,Generosity,0.364
Italy,Economy (GDP per Capita),1.264
Italy,Family,1.501
Italy,Health (Life Expectancy),0.946
Italy,Freedom,0.281
Italy,Trust (Government Corruption),0.028
Italy,Generosity,0.137
Ecuador,Economy (GDP per Capita),0.889
Ecuador,Family,1.33
Ecuador,Health (Life Expectancy),0.736
Ecuador,Freedom,0.556
Ecuador,Trust (Government Corruption),0.12
Ecuador,Generosity,0.114
Belize,Economy (GDP per Capita),0.807
Belize,Family,1.101
Belize,Health (Life Expectancy),0.474
Belize,Freedom,0.593
Belize,Trust (Government Corruption),0.089
Belize,Generosity,0.183
Lithuania,Economy (GDP per Capita),1.197
Lithuania,Family,1.527
Lithuania,Health (Life Expectancy),0.716
Lithuania,Freedom,0.35
Lithuania,Trust (Government Corruption),0.006
Lithuania,Generosity,0.026
Slovenia,Economy (GDP per Capita),1.219
Slovenia,Family,1.506
Slovenia,Health (Life Expectancy),0.856
Slovenia,Freedom,0.633
Slovenia,Trust (Government Corruption),0.051
Slovenia,Generosity,0.16
Romania,Economy (GDP per Capita),1.116
Romania,Family,1.219
Romania,Health (Life Expectancy),0.726
Romania,Freedom,0.528
Romania,Trust (Government Corruption),0.001
Romania,Generosity,0.088
Latvia,Economy (GDP per Capita),1.148
Latvia,Family,1.454
Latvia,Health (Life Expectancy),0.671
Latvia,Freedom,0.363
Latvia,Trust (Government Corruption),0.066
Latvia,Generosity,0.092
Japan,Economy (GDP per Capita),1.294
Japan,Family,1.462
Japan,Health (Life Expectancy),0.988
Japan,Freedom,0.553
Japan,Trust (Government Corruption),0.15
Japan,Generosity,0.079
Mauritius,Economy (GDP per Capita),1.09
Mauritius,Family,1.387
Mauritius,Health (Life Expectancy),0.684
Mauritius,Freedom,0.584
Mauritius,Trust (Government Corruption),0.05
Mauritius,Generosity,0.245
Jamaica,Economy (GDP per Capita),0.819
Jamaica,Family,1.493
Jamaica,Health (Life Expectancy),0.693
Jamaica,Freedom,0.575
Jamaica,Trust (Government Corruption),0.031
Jamaica,Generosity,0.096
South Korea,Economy (GDP per Capita),1.266
South Korea,Family,1.204
South Korea,Health (Life Expectancy),0.955
South Korea,Freedom,0.244
South Korea,Trust (Government Corruption),0.051
South Korea,Generosity,0.175
Northern Cyprus,Economy (GDP per Capita),1.229
Northern Cyprus,Family,1.211
Northern Cyprus,Health (Life Expectancy),0.909
Northern Cyprus,Freedom,0.495
Northern Cyprus,Trust (Government Corruption),0.154
Northern Cyprus,Generosity,0.179
Russia,Economy (GDP per Capita),1.151
Russia,Family,1.479
Russia,Health (Life Expectancy),0.599
Russia,Freedom,0.399
Russia,Trust (Government Corruption),0.025
Russia,Generosity,0.065
Kazakhstan,Economy (GDP per Capita),1.143
Kazakhstan,Family,1.516
Kazakhstan,Health (Life Expectancy),0.631
Kazakhstan,Freedom,0.454
Kazakhstan,Trust (Government Corruption),0.121
Kazakhstan,Generosity,0.148
Cyprus,Economy (GDP per Capita),1.229
Cyprus,Family,1.191
Cyprus,Health (Life Expectancy),0.909
Cyprus,Freedom,0.423
Cyprus,Trust (Government Corruption),0.035
Cyprus,Generosity,0.202
Bolivia,Economy (GDP per Capita),0.751
Bolivia,Family,1.223
Bolivia,Health (Life Expectancy),0.508
Bolivia,Freedom,0.606
Bolivia,Trust (Government Corruption),0.054
Bolivia,Generosity,0.141
Estonia,Economy (GDP per Capita),1.2
Estonia,Family,1.532
Estonia,Health (Life Expectancy),0.737
Estonia,Freedom,0.553
Estonia,Trust (Government Corruption),0.174
Estonia,Generosity,0.086
Paraguay,Economy (GDP per Capita),0.835
Paraguay,Family,1.522
Paraguay,Health (Life Expectancy),0.615
Paraguay,Freedom,0.541
Paraguay,Trust (Government Corruption),0.074
Paraguay,Generosity,0.162
Peru,Economy (GDP per Capita),0.934
Peru,Family,1.249
Peru,Health (Life Expectancy),0.674
Peru,Freedom,0.53
Peru,Trust (Government Corruption),0.034
Peru,Generosity,0.092
Kosovo,Economy (GDP per Capita),0.855
Kosovo,Family,1.23
Kosovo,Health (Life Expectancy),0.578
Kosovo,Freedom,0.448
Kosovo,Trust (Government Corruption),0.023
Kosovo,Generosity,0.274
Moldova,Economy (GDP per Capita),0.657
Moldova,Family,1.301
Moldova,Health (Life Expectancy),0.62
Moldova,Freedom,0.232
Moldova,Trust (Government Corruption),0
Moldova,Generosity,0.171
Turkmenistan,Economy (GDP per Capita),1.016
Turkmenistan,Family,1.533
Turkmenistan,Health (Life Expectancy),0.517
Turkmenistan,Freedom,0.417
Turkmenistan,Trust (Government Corruption),0.037
Turkmenistan,Generosity,0.199
Hungary,Economy (GDP per Capita),1.171
Hungary,Family,1.401
Hungary,Health (Life Expectancy),0.732
Hungary,Freedom,0.259
Hungary,Trust (Government Corruption),0.022
Hungary,Generosity,0.061
Libya,Economy (GDP per Capita),0.985
Libya,Family,1.35
Libya,Health (Life Expectancy),0.553
Libya,Freedom,0.496
Libya,Trust (Government Corruption),0.148
Libya,Generosity,0.116
Philippines,Economy (GDP per Capita),0.775
Philippines,Family,1.312
Philippines,Health (Life Expectancy),0.513
Philippines,Freedom,0.643
Philippines,Trust (Government Corruption),0.105
Philippines,Generosity,0.12
Honduras,Economy (GDP per Capita),0.62
Honduras,Family,1.205
Honduras,Health (Life Expectancy),0.622
Honduras,Freedom,0.459
Honduras,Trust (Government Corruption),0.074
Honduras,Generosity,0.197
Belarus,Economy (GDP per Capita),1.039
Belarus,Family,1.498
Belarus,Health (Life Expectancy),0.7
Belarus,Freedom,0.307
Belarus,Trust (Government Corruption),0.154
Belarus,Generosity,0.101
Turkey,Economy (GDP per Capita),1.148
Turkey,Family,1.38
Turkey,Health (Life Expectancy),0.686
Turkey,Freedom,0.324
Turkey,Trust (Government Corruption),0.109
Turkey,Generosity,0.106
Pakistan,Economy (GDP per Capita),0.652
Pakistan,Family,0.81
Pakistan,Health (Life Expectancy),0.424
Pakistan,Freedom,0.334
Pakistan,Trust (Government Corruption),0.113
Pakistan,Generosity,0.216
Hong Kong,Economy (GDP per Capita),1.405
Hong Kong,Family,1.29
Hong Kong,Health (Life Expectancy),1.03
Hong Kong,Freedom,0.524
Hong Kong,Trust (Government Corruption),0.291
Hong Kong,Generosity,0.246
Portugal,Economy (GDP per Capita),1.188
Portugal,Family,1.429
Portugal,Health (Life Expectancy),0.884
Portugal,Freedom,0.562
Portugal,Trust (Government Corruption),0.017
Portugal,Generosity,0.055
Serbia,Economy (GDP per Capita),0.975
Serbia,Family,1.369
Serbia,Health (Life Expectancy),0.685
Serbia,Freedom,0.288
Serbia,Trust (Government Corruption),0.043
Serbia,Generosity,0.134
Greece,Economy (GDP per Capita),1.154
Greece,Family,1.202
Greece,Health (Life Expectancy),0.879
Greece,Freedom,0.131
Greece,Trust (Government Corruption),0.044
Greece,Generosity,0
Lebanon,Economy (GDP per Capita),0.965
Lebanon,Family,1.179
Lebanon,Health (Life Expectancy),0.785
Lebanon,Freedom,0.503
Lebanon,Trust (Government Corruption),0.136
Lebanon,Generosity,0.214
Montenegro,Economy (GDP per Capita),1.017
Montenegro,Family,1.279
Montenegro,Health (Life Expectancy),0.729
Montenegro,Freedom,0.259
Montenegro,Trust (Government Corruption),0.081
Montenegro,Generosity,0.111
Croatia,Economy (GDP per Capita),1.115
Croatia,Family,1.161
Croatia,Health (Life Expectancy),0.737
Croatia,Freedom,0.38
Croatia,Trust (Government Corruption),0.039
Croatia,Generosity,0.12
Dominican Republic,Economy (GDP per Capita),0.982
Dominican Republic,Family,1.441
Dominican Republic,Health (Life Expectancy),0.614
Dominican Republic,Freedom,0.578
Dominican Republic,Trust (Government Corruption),0.106
Dominican Republic,Generosity,0.12
Algeria,Economy (GDP per Capita),0.979
Algeria,Family,1.154
Algeria,Health (Life Expectancy),0.687
Algeria,Freedom,0.077
Algeria,Trust (Government Corruption),0.135
Algeria,Generosity,0.055
Morocco,Economy (GDP per Capita),0.779
Morocco,Family,0.797
Morocco,Health (Life Expectancy),0.669
Morocco,Freedom,0.46
Morocco,Trust (Government Corruption),0.074
Morocco,Generosity,0.026
China,Economy (GDP per Capita),0.989
China,Family,1.142
China,Health (Life Expectancy),0.799
China,Freedom,0.597
China,Trust (Government Corruption),0.103
China,Generosity,0.029
Azerbaijan,Economy (GDP per Capita),1.024
Azerbaijan,Family,1.161
Azerbaijan,Health (Life Expectancy),0.603
Azerbaijan,Freedom,0.43
Azerbaijan,Trust (Government Corruption),0.176
Azerbaijan,Generosity,0.031
Tajikistan,Economy (GDP per Capita),0.474
Tajikistan,Family,1.166
Tajikistan,Health (Life Expectancy),0.598
Tajikistan,Freedom,0.292
Tajikistan,Trust (Government Corruption),0.034
Tajikistan,Generosity,0.187
Macedonia,Economy (GDP per Capita),0.959
Macedonia,Family,1.239
Macedonia,Health (Life Expectancy),0.691
Macedonia,Freedom,0.394
Macedonia,Trust (Government Corruption),0.052
Macedonia,Generosity,0.173
Jordan,Economy (GDP per Capita),0.822
Jordan,Family,1.265
Jordan,Health (Life Expectancy),0.645
Jordan,Freedom,0.468
Jordan,Trust (Government Corruption),0.134
Jordan,Generosity,0.13
Nigeria,Economy (GDP per Capita),0.689
Nigeria,Family,1.172
Nigeria,Health (Life Expectancy),0.048
Nigeria,Freedom,0.462
Nigeria,Trust (Government Corruption),0.032
Nigeria,Generosity,0.201
Kyrgyzstan,Economy (GDP per Capita),0.53
Kyrgyzstan,Family,1.416
Kyrgyzstan,Health (Life Expectancy),0.594
Kyrgyzstan,Freedom,0.54
Kyrgyzstan,Trust (Government Corruption),0.035
Kyrgyzstan,Generosity,0.281
Bosnia and Herzegovina,Economy (GDP per Capita),0.915
Bosnia and Herzegovina,Family,1.078
Bosnia and Herzegovina,Health (Life Expectancy),0.758
Bosnia and Herzegovina,Freedom,0.28
Bosnia and Herzegovina,Trust (Government Corruption),0
Bosnia and Herzegovina,Generosity,0.216
Mongolia,Economy (GDP per Capita),0.914
Mongolia,Family,1.517
Mongolia,Health (Life Expectancy),0.575
Mongolia,Freedom,0.395
Mongolia,Trust (Government Corruption),0.032
Mongolia,Generosity,0.253
Vietnam,Economy (GDP per Capita),0.715
Vietnam,Family,1.365
Vietnam,Health (Life Expectancy),0.702
Vietnam,Freedom,0.618
Vietnam,Trust (Government Corruption),0.079
Vietnam,Generosity,0.177
Indonesia,Economy (GDP per Capita),0.899
Indonesia,Family,1.215
Indonesia,Health (Life Expectancy),0.522
Indonesia,Freedom,0.538
Indonesia,Trust (Government Corruption),0.018
Indonesia,Generosity,0.484
Bhutan,Economy (GDP per Capita),0.796
Bhutan,Family,1.335
Bhutan,Health (Life Expectancy),0.527
Bhutan,Freedom,0.541
Bhutan,Trust (Government Corruption),0.171
Bhutan,Generosity,0.364
Somalia,Economy (GDP per Capita),0
Somalia,Family,0.712
Somalia,Health (Life Expectancy),0.115
Somalia,Freedom,0.674
Somalia,Trust (Government Corruption),0.282
Somalia,Generosity,0.238
Cameroon,Economy (GDP per Capita),0.535
Cameroon,Family,0.891
Cameroon,Health (Life Expectancy),0.182
Cameroon,Freedom,0.454
Cameroon,Trust (Government Corruption),0.043
Cameroon,Generosity,0.183
Bulgaria,Economy (GDP per Capita),1.054
Bulgaria,Family,1.515
Bulgaria,Health (Life Expectancy),0.712
Bulgaria,Freedom,0.359
Bulgaria,Trust (Government Corruption),0.009
Bulgaria,Generosity,0.064
Nepal,Economy (GDP per Capita),0.425
Nepal,Family,1.228
Nepal,Health (Life Expectancy),0.539
Nepal,Freedom,0.526
Nepal,Trust (Government Corruption),0.078
Nepal,Generosity,0.302
Venezuela,Economy (GDP per Capita),0.996
Venezuela,Family,1.469
Venezuela,Health (Life Expectancy),0.657
Venezuela,Freedom,0.133
Venezuela,Trust (Government Corruption),0.052
Venezuela,Generosity,0.056
Gabon,Economy (GDP per Capita),1.036
Gabon,Family,1.164
Gabon,Health (Life Expectancy),0.404
Gabon,Freedom,0.356
Gabon,Trust (Government Corruption),0.052
Gabon,Generosity,0.032
Palestinian Territories,Economy (GDP per Capita),0.642
Palestinian Territories,Family,1.217
Palestinian Territories,Health (Life Expectancy),0.602
Palestinian Territories,Freedom,0.266
Palestinian Territories,Trust (Government Corruption),0.076
Palestinian Territories,Generosity,0.086
South Africa,Economy (GDP per Capita),0.94
South Africa,Family,1.41
South Africa,Health (Life Expectancy),0.33
South Africa,Freedom,0.516
South Africa,Trust (Government Corruption),0.056
South Africa,Generosity,0.103
Iran,Economy (GDP per Capita),1.059
Iran,Family,0.771
Iran,Health (Life Expectancy),0.691
Iran,Freedom,0.459
Iran,Trust (Government Corruption),0.129
Iran,Generosity,0.282
Ivory Coast,Economy (GDP per Capita),0.541
Ivory Coast,Family,0.872
Ivory Coast,Health (Life Expectancy),0.08
Ivory Coast,Freedom,0.467
Ivory Coast,Trust (Government Corruption),0.103
Ivory Coast,Generosity,0.146
Ghana,Economy (GDP per Capita),0.592
Ghana,Family,0.896
Ghana,Health (Life Expectancy),0.337
Ghana,Freedom,0.499
Ghana,Trust (Government Corruption),0.029
Ghana,Generosity,0.212
Senegal,Economy (GDP per Capita),0.429
Senegal,Family,1.117
Senegal,Health (Life Expectancy),0.433
Senegal,Freedom,0.406
Senegal,Trust (Government Corruption),0.082
Senegal,Generosity,0.138
Laos,Economy (GDP per Capita),0.72
Laos,Family,1.034
Laos,Health (Life Expectancy),0.441
Laos,Freedom,0.626
Laos,Trust (Government Corruption),0.174
Laos,Generosity,0.23
Tunisia,Economy (GDP per Capita),0.9
Tunisia,Family,0.906
Tunisia,Health (Life Expectancy),0.69
Tunisia,Freedom,0.271
Tunisia,Trust (Government Corruption),0.063
Tunisia,Generosity,0.04
Albania,Economy (GDP per Capita),0.916
Albania,Family,0.817
Albania,Health (Life Expectancy),0.79
Albania,Freedom,0.419
Albania,Trust (Government Corruption),0.032
Albania,Generosity,0.149
Sierra Leone,Economy (GDP per Capita),0.256
Sierra Leone,Family,0.813
Sierra Leone,Health (Life Expectancy),0
Sierra Leone,Freedom,0.355
Sierra Leone,Trust (Government Corruption),0.053
Sierra Leone,Generosity,0.238
Congo (Brazzaville),Economy (GDP per Capita),0.682
Congo (Brazzaville),Family,0.811
Congo (Brazzaville),Health (Life Expectancy),0.343
Congo (Brazzaville),Freedom,0.514
Congo (Brazzaville),Trust (Government Corruption),0.077
Congo (Brazzaville),Generosity,0.091
Bangladesh,Economy (GDP per Capita),0.532
Bangladesh,Family,0.85
Bangladesh,Health (Life Expectancy),0.579
Bangladesh,Freedom,0.58
Bangladesh,Trust (Government Corruption),0.144
Bangladesh,Generosity,0.153
Sri Lanka,Economy (GDP per Capita),0.918
Sri Lanka,Family,1.314
Sri Lanka,Health (Life Expectancy),0.672
Sri Lanka,Freedom,0.585
Sri Lanka,Trust (Government Corruption),0.05
Sri Lanka,Generosity,0.307
Iraq,Economy (GDP per Capita),1.01
